time,vehicles
1,7
2,8
3,7
4,7
5,10
6,10
7,6
8,6
9,7
10,8
11,6
12,6
13,6
14,6
15,5
16,6
17,6
18,5
19,6
20,6
21,6
22,5
23,5
24,5
25,6
26,6
27,5
28,5
29,6
30,6
31,5
32,5
33,5
34,4
35,4
36,4
37,5
38,4
39,4
40,4
41,4
42,5
43,5
44,4
45,4
46,5
47,4
48,4
49,5
50,4
51,5
52,5
53,7
54,7
55,5
56,5
57,6
58,6
59,6
60,6
61,6
62,6
63,6
64,6
65,6
66,8
67,7
68,7
69,6
70,6
71,7
72,6
73,7
74,6
75,6
76,6
77,9
78,8
79,5
80,5
81,5
82,5
83,4
84,4
85,5
86,4
87,5
88,4
89,4
90,5
91,6
92,6
93,5
94,5
95,5
96,5
97,7
98,7
99,7
100,6
101,7
102,6
103,5
104,5
105,5
106,6
107,6
108,6
109,6
110,5
111,5
112,6
113,5
114,6
115,6
116,5
117,5
118,5
119,5
120,9
121,5
122,5
123,6
124,6
125,7
126,7
127,8
128,10
129,10
130,10
131,10
132,8
133,7
134,7
135,8
136,6
137,8
138,9
139,10
140,7
141,7
142,7
143,7
144,6
145,6
146,4
147,5
148,4
149,4
150,4
151,4
152,4
153,4
154,4
155,4
156,3
157,4
158,3
159,3
160,4
161,3
162,3
163,3
164,3
165,3
166,3
167,3
168,3
169,3
170,3
171,3
172,3
173,3
174,3
175,3
176,3
177,3
178,3
179,3
180,3
181,3
182,3
183,3
184,3
185,3
186,3
187,3
188,3
189,3
190,3
191,4
192,3
193,4
194,4
195,4
196,9
197,4
198,4
199,4
200,4
201,5
202,5
203,4
204,6
205,6
206,7
207,8
208,6
209,6
210,6
211,6
212,5
213,5
214,4
215,6
216,6
217,5
218,6
219,6
220,6
221,6
222,6
223,6
224,7
225,6
226,6
227,6
228,6
229,6
230,6
231,6
232,6
233,6
234,8
235,6
236,5
237,5
238,5
239,5
240,5
241,6
242,5
243,7
244,5
245,6
246,6
247,5
248,6
249,6
250,7
251,6
252,6
253,6
254,6
255,6
256,6
257,5
258,5
259,6
260,6
261,5
262,6
263,6
264,5
265,5
266,5
267,6
268,6
269,5
270,5
271,6
272,6
273,6
274,6
275,8
276,8
277,8
278,7
279,8
280,7
281,6
282,7
283,7
284,7
285,6
286,6
287,6
288,10
289,7
290,7
291,6
292,7
293,5
294,5
295,10
296,10
297,9
298,8
299,6
300,8
301,4
302,4
303,10
304,10
305,8
306,4
307,4
308,4
309,4
310,4
311,3
312,3
313,4
314,3
315,3
316,3
317,3
318,3
319,3
320,3
321,4
322,3
323,3
324,3
325,3
326,3
327,3
328,3
329,3
330,3
331,3
332,5
333,3
334,3
335,3
336,3
337,4
338,3
339,4
340,4
341,6
342,5
343,5
344,7
345,5
346,5
347,7
348,7
349,4
350,5
351,4
352,6
353,5
354,6
355,8
356,8
357,7
358,6
359,6
360,6
361,7
362,7
363,8
364,9
365,6
366,7
367,6
368,7
369,7
370,7
371,6
372,7
373,8
374,6
375,6
376,7
377,8
378,6
379,10
380,7
381,6
382,7
383,5
384,5
385,8
386,8
387,6
388,8
389,6
390,8
391,7
392,8
393,8
394,7
395,6
396,7
397,7
398,6
399,7
400,7
401,6
402,7
403,7
404,7
405,7
406,7
407,5
408,7
409,9
410,7
411,8
412,10
413,7
414,8
415,7
416,6
417,8
418,7
419,7
420,8
421,7
422,10
423,8
424,8
425,8
426,7
427,8
428,6
429,7
430,7
431,6
432,9
433,10
434,8
435,5
436,5
437,4
438,4
439,5
440,4
441,6
442,5
443,4
444,5
445,6
446,5
447,6
448,5
449,4
450,5
451,5
452,4
453,5
454,4
455,4
456,4
457,4
458,4
459,4
460,4
461,4
462,4
463,4
464,3
465,4
466,4
467,3
468,4
469,4
470,4
471,4
472,4
473,4
474,4
475,5
476,5
477,6
478,7
479,6
480,7
481,7
482,7
483,7
484,9
485,7
486,9
487,8
488,8
489,8
490,9
491,7
492,10
493,8
494,10
495,9
496,9
497,10
498,10
499,10
500,10
501,10
502,10
503,9
504,9
505,9
506,10
507,10
508,10
509,10
510,10
511,10
512,10
513,9
514,10
515,10
516,9
517,9
518,10
519,10
520,10
521,10
522,10
523,8
524,10
525,9
526,9
527,10
528,9
529,9
530,10
531,10
532,9
533,9
534,10
535,10
536,8
537,10
538,8
539,8
540,8
541,10
542,9
543,9
544,10
545,9
546,8
547,9
548,10
549,9
550,10
551,10
552,10
553,10
554,10
555,10
556,10
557,9
558,10
559,10
560,10
561,10
562,9
563,8
564,8
565,8
566,9
567,10
568,10
569,8
570,8
571,7
572,6
573,9
574,9
